  
       XFOIL         Version 6.99
  
 Calculated polar for: AG14                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     0.015 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.3730   0.05945   0.04783  -0.0074   1.0000   0.3955
  -3.900  -0.3617   0.05771   0.04601  -0.0092   1.0000   0.3936
  -3.800  -0.3500   0.05600   0.04420  -0.0114   1.0000   0.3932
  -3.700  -0.3377   0.05430   0.04238  -0.0137   1.0000   0.3943
  -3.600  -0.3258   0.05265   0.04066  -0.0153   1.0000   0.3972
  -3.500  -0.3135   0.05104   0.03890  -0.0168   1.0000   0.4012
  -3.400  -0.2991   0.04935   0.03704  -0.0194   1.0000   0.4046
  -3.300  -0.2864   0.04776   0.03536  -0.0205   1.0000   0.4090
  -3.200  -0.2715   0.04613   0.03356  -0.0226   1.0000   0.4143
  -3.100  -0.2587   0.04465   0.03197  -0.0236   1.0000   0.4236
  -3.000  -0.2466   0.04324   0.03047  -0.0241   1.0000   0.4356
  -2.900  -0.2331   0.04180   0.02890  -0.0251   1.0000   0.4489
  -2.800  -0.2207   0.04041   0.02743  -0.0255   1.0000   0.4632
  -2.700  -0.2087   0.03906   0.02601  -0.0257   1.0000   0.4814
  -2.600  -0.1980   0.03776   0.02470  -0.0253   1.0000   0.5028
  -2.500  -0.1873   0.03646   0.02339  -0.0249   1.0000   0.5276
  -2.400  -0.1787   0.03519   0.02220  -0.0237   1.0000   0.5559
  -2.300  -0.1704   0.03391   0.02101  -0.0224   1.0000   0.5888
  -2.200  -0.1649   0.03266   0.01994  -0.0201   1.0000   0.6261
  -2.100  -0.1602   0.03136   0.01887  -0.0175   1.0000   0.6691
  -2.000  -0.1575   0.03003   0.01781  -0.0141   1.0000   0.7202
  -1.900  -0.1544   0.02841   0.01663  -0.0100   1.0000   0.7954
  -1.700  -0.0272   0.02533   0.01014  -0.0385   1.0000   1.0000
  -1.600  -0.0154   0.02531   0.00969  -0.0386   1.0000   1.0000
  -1.500  -0.0039   0.02529   0.00930  -0.0387   1.0000   1.0000
  -1.400   0.0072   0.02527   0.00896  -0.0387   1.0000   1.0000
  -1.300   0.0182   0.02526   0.00862  -0.0387   1.0000   1.0000
  -1.200   0.0291   0.02526   0.00834  -0.0387   1.0000   1.0000
  -1.100   0.0398   0.02526   0.00809  -0.0386   1.0000   1.0000
  -1.000   0.0504   0.02526   0.00786  -0.0385   1.0000   1.0000
  -0.900   0.0609   0.02527   0.00766  -0.0385   1.0000   1.0000
  -0.800   0.0713   0.02528   0.00748  -0.0384   1.0000   1.0000
  -0.700   0.0817   0.02530   0.00732  -0.0383   1.0000   1.0000
  -0.600   0.0920   0.02532   0.00717  -0.0382   1.0000   1.0000
  -0.500   0.1022   0.02535   0.00702  -0.0380   1.0000   1.0000
  -0.400   0.1124   0.02538   0.00691  -0.0379   1.0000   1.0000
  -0.300   0.1225   0.02541   0.00682  -0.0378   1.0000   1.0000
  -0.200   0.1325   0.02546   0.00674  -0.0377   1.0000   1.0000
  -0.100   0.1425   0.02550   0.00668  -0.0376   1.0000   1.0000
   0.000   0.1524   0.02555   0.00663  -0.0374   1.0000   1.0000
   0.100   0.1622   0.02561   0.00660  -0.0373   1.0000   1.0000
   0.200   0.1720   0.02567   0.00659  -0.0372   1.0000   1.0000
   0.300   0.1817   0.02573   0.00657  -0.0370   1.0000   1.0000
   0.400   0.1914   0.02580   0.00658  -0.0369   1.0000   1.0000
   0.500   0.2010   0.02588   0.00661  -0.0368   1.0000   1.0000
   0.600   0.2106   0.02596   0.00665  -0.0367   1.0000   1.0000
   0.700   0.2201   0.02605   0.00670  -0.0365   1.0000   1.0000
   0.800   0.2295   0.02615   0.00678  -0.0364   1.0000   1.0000
   0.900   0.2389   0.02626   0.00686  -0.0363   1.0000   1.0000
   1.000   0.2482   0.02637   0.00696  -0.0362   1.0000   1.0000
   1.100   0.2574   0.02649   0.00707  -0.0361   1.0000   1.0000
   1.200   0.2666   0.02662   0.00721  -0.0360   1.0000   1.0000
   1.300   0.2757   0.02676   0.00735  -0.0359   1.0000   1.0000
   1.400   0.2847   0.02690   0.00752  -0.0359   1.0000   1.0000
   1.500   0.2935   0.02706   0.00770  -0.0358   1.0000   1.0000
   1.600   0.3023   0.02724   0.00790  -0.0358   1.0000   1.0000
   1.700   0.3110   0.02742   0.00812  -0.0357   1.0000   1.0000
   1.800   0.3196   0.02762   0.00837  -0.0357   1.0000   1.0000
   1.900   0.3280   0.02783   0.00862  -0.0357   1.0000   1.0000
   2.000   0.3364   0.02807   0.00890  -0.0357   1.0000   1.0000
   2.100   0.3447   0.02832   0.00920  -0.0358   1.0000   1.0000
   2.200   0.3528   0.02859   0.00952  -0.0358   1.0000   1.0000
   2.300   0.3608   0.02888   0.00987  -0.0359   1.0000   1.0000
   2.400   0.3687   0.02920   0.01025  -0.0361   1.0000   1.0000
   2.500   0.3763   0.02954   0.01065  -0.0363   1.0000   1.0000
   2.600   0.3838   0.02991   0.01109  -0.0365   1.0000   1.0000
   2.700   0.3910   0.03031   0.01155  -0.0367   1.0000   1.0000
   2.800   0.3980   0.03074   0.01208  -0.0370   1.0000   1.0000
   2.900   0.4048   0.03120   0.01262  -0.0373   1.0000   1.0000
   3.000   0.4113   0.03170   0.01318  -0.0377   1.0000   1.0000
   3.100   0.4176   0.03223   0.01379  -0.0382   1.0000   1.0000
   3.200   0.4237   0.03281   0.01443  -0.0387   1.0000   1.0000
   3.300   0.4296   0.03342   0.01512  -0.0392   1.0000   1.0000
   3.400   0.4353   0.03407   0.01584  -0.0398   1.0000   1.0000
   3.500   0.4407   0.03476   0.01660  -0.0405   1.0000   1.0000
   3.600   0.4460   0.03549   0.01740  -0.0412   1.0000   1.0000
   3.700   0.4510   0.03626   0.01824  -0.0419   1.0000   1.0000
   3.800   0.4559   0.03707   0.01912  -0.0427   1.0000   1.0000
   3.900   0.4606   0.03791   0.02003  -0.0436   1.0000   1.0000
   4.000   0.4652   0.03878   0.02098  -0.0444   1.0000   1.0000
   4.100   0.4696   0.03969   0.02201  -0.0453   1.0000   1.0000
   4.200   0.4739   0.04063   0.02302  -0.0462   1.0000   1.0000
   4.300   0.4781   0.04160   0.02406  -0.0472   1.0000   1.0000
   4.400   0.4822   0.04260   0.02513  -0.0481   1.0000   1.0000
   4.500   0.4862   0.04363   0.02623  -0.0491   1.0000   1.0000
   4.600   0.4901   0.04468   0.02735  -0.0501   1.0000   1.0000
   4.700   0.4940   0.04576   0.02850  -0.0511   1.0000   1.0000
   4.800   0.4978   0.04686   0.02967  -0.0520   1.0000   1.0000
   4.900   0.5015   0.04799   0.03086  -0.0530   1.0000   1.0000
   5.000   0.5051   0.04913   0.03207  -0.0540   1.0000   1.0000
   5.100   0.5088   0.05030   0.03330  -0.0550   1.0000   1.0000
   5.200   0.5396   0.05302   0.03632  -0.0623   0.9792   1.0000
   5.400   0.6454   0.06046   0.04479  -0.0830   0.8768   1.0000
   5.500   0.6668   0.06257   0.04714  -0.0861   0.8489   1.0000
   5.700   0.7063   0.06669   0.05170  -0.0907   0.7975   1.0000
   5.800   0.7178   0.06846   0.05362  -0.0918   0.7791   1.0000
   5.900   0.7292   0.07025   0.05562  -0.0926   0.7614   1.0000
   6.000   0.7403   0.07207   0.05757  -0.0934   0.7445   1.0000
   6.100   0.7467   0.07375   0.05935  -0.0938   0.7317   1.0000
   6.300   0.7602   0.07723   0.06301  -0.0945   0.7075   1.0000
   6.400   0.7655   0.07897   0.06483  -0.0948   0.6975   1.0000
   6.500   0.7753   0.08089   0.06686  -0.0953   0.6842   1.0000
   6.600   0.7753   0.08249   0.06849  -0.0954   0.6792   1.0000
   6.800   0.7828   0.08605   0.07216  -0.0960   0.6652   1.0000
   6.900   0.7879   0.08792   0.07410  -0.0964   0.6577   1.0000
   7.000   0.7867   0.08955   0.07573  -0.0966   0.6560   1.0000
   7.100   0.7873   0.09127   0.07748  -0.0969   0.6537   1.0000
   7.200   0.7916   0.09320   0.07946  -0.0974   0.6487   1.0000
   7.300   0.7909   0.09486   0.08114  -0.0977   0.6477   1.0000
   7.400   0.7908   0.09659   0.08288  -0.0981   0.6472   1.0000
   7.500   0.7913   0.09837   0.08469  -0.0986   0.6477   1.0000
   7.600   0.7922   0.10021   0.08654  -0.0992   0.6486   1.0000
   7.700   0.7917   0.10196   0.08831  -0.0998   0.6513   1.0000
   7.800   0.7889   0.10355   0.08989  -0.1003   0.6566   1.0000
   7.900   0.7920   0.10561   0.09198  -0.1013   0.6587   1.0000
   8.000   0.7828   0.10670   0.09302  -0.1016   0.6719   1.0000
   8.100   0.7802   0.10833   0.09465  -0.1024   0.6824   1.0000
   8.200   0.7741   0.10967   0.09595  -0.1031   0.6989   1.0000
   8.300   0.7698   0.11122   0.09748  -0.1043   0.7189   1.0000
   8.400   0.7565   0.11189   0.09807  -0.1048   0.7533   1.0000
   8.700   0.6261   0.10158   0.08678  -0.0845   1.0000   1.0000
   8.800   0.6293   0.10319   0.08843  -0.0852   1.0000   1.0000
   8.900   0.6325   0.10480   0.09009  -0.0859   1.0000   1.0000
   9.000   0.6356   0.10641   0.09175  -0.0866   1.0000   1.0000
   9.100   0.6388   0.10804   0.09343  -0.0873   1.0000   1.0000
   9.200   0.6420   0.10966   0.09510  -0.0880   1.0000   1.0000
   9.300   0.6453   0.11130   0.09678  -0.0887   1.0000   1.0000
   9.400   0.6485   0.11294   0.09847  -0.0893   1.0000   1.0000
   9.500   0.6517   0.11458   0.10015  -0.0900   1.0000   1.0000
   9.600   0.6550   0.11622   0.10184  -0.0907   1.0000   1.0000
   9.700   0.6582   0.11788   0.10354  -0.0914   1.0000   1.0000
   9.800   0.6615   0.11953   0.10524  -0.0921   1.0000   1.0000
